ac_id,us_id,epic_id,squad,owner_role,estimate_points,phase_primary,phase_secondary,priority,moscow,release,requirement_type,nfr_metric,nfr_target,depends_on_epics,depends_on_us,depends_on_acs,test_layer_required,min_automated_tests,framework_tags,control_clause_ids,requirement_statement,objective,preconditions,verification_procedure,expected_result,edge_cases,suggested_tc_primary,suggested_tc_negative,automation_hints,architecture_refs
AC-DG-01-001-01,US-DG-01-001,EPIC-DG-01,platform-runtime,platform_engineer,3,L4,L5/L12,P1,Should,MVP,Functional,,,,,,integration,1,,,"Given `scan_layers.iac=true` and `scan_layers.cloud=true`, Laocoon and Cassandra are dispatched per fan-out rules and Athena does not start until the convergence gate validates completion markers / artifact refs (Architecture §4.5–4.6, §23.1 Q4).","Verify AC-DG-01-001-01: Given `scan_layers.iac=true` and `scan_layers.cloud=true`, Laocoon and Cassandra are dispatched per fan-out rules and Athena does not start until the convergence gate validates completion markers / artifact refs (Archite…","`scan_layers.iac=true` and `scan_layers.cloud=true`, Laocoon and Cassandra are dispatched per fan-out rules and Athena does not start until the convergence gate validates completion markers / artifact refs (Architecture §4.5–4.6, §23.1 Q4)","1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-01.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-01-001-01,TC-DG-01-001-01.2,"pytest marker @pytest.mark.req(""AC-DG-01-001-01"") or Xray/TestRail key == AC-DG-01-001-01","Architecture §4.5–4.6, §23.1 Q4"
AC-DG-01-001-02,US-DG-01-001,EPIC-DG-01,platform-runtime,platform_engineer,3,L4,L5/L12,P1,Should,MVP,Functional,,,,,,integration,1,,,"Given `scan_layers.iac=false`, Laocoon is skipped and the gate does not block indefinitely on IaC outputs.","Verify AC-DG-01-001-02: Given `scan_layers.iac=false`, Laocoon is skipped and the gate does not block indefinitely on IaC outputs.","`scan_layers.iac=false`, Laocoon is skipped and the gate does not block indefinitely on IaC outputs","1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-01.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-01-001-02,TC-DG-01-001-02.2,"pytest marker @pytest.mark.req(""AC-DG-01-001-02"") or Xray/TestRail key == AC-DG-01-001-02",Architecture_Design.md (see product spec)
AC-DG-01-001-03,US-DG-01-001,EPIC-DG-01,platform-runtime,platform_engineer,3,L4,L5/L12,P1,Should,MVP,Functional,,,,,,integration,1,,,"Given `scan_layers.cloud=false` or no snapshots, Cassandra is skipped per routing rules.","Verify AC-DG-01-001-03: Given `scan_layers.cloud=false` or no snapshots, Cassandra is skipped per routing rules.","`scan_layers.cloud=false` or no snapshots, Cassandra is skipped per routing rules","1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-01.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-01-001-03,TC-DG-01-001-03.2,"pytest marker @pytest.mark.req(""AC-DG-01-001-03"") or Xray/TestRail key == AC-DG-01-001-03",Architecture_Design.md (see product spec)
AC-DG-01-001-04,US-DG-01-001,EPIC-DG-01,platform-runtime,platform_engineer,3,L4,L5/L12,P1,Should,MVP,Functional,,,,,,integration,1,,,Graph compilation uses a stable `thread_id = scan_id` for checkpoint correlation (Architecture §31.1).,Verify AC-DG-01-001-04: Graph compilation uses a stable `thread_id = scan_id` for checkpoint correlation (Architecture §31.1).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-01.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-01-001-04,TC-DG-01-001-04.2,"pytest marker @pytest.mark.req(""AC-DG-01-001-04"") or Xray/TestRail key == AC-DG-01-001-04",Architecture §31.1
AC-DG-01-002-01,US-DG-01-002,EPIC-DG-01,platform-runtime,platform_engineer,3,L4,L5/L12,P1,Should,MVP,Functional,,,,,,integration,1,,,"Postgres-backed checkpointer is used in production topology (`LANGGRAPH_CHECKPOINT=postgres`) (Architecture §4.6, §27).","Verify AC-DG-01-002-01: Postgres-backed checkpointer is used in production topology (`LANGGRAPH_CHECKPOINT=postgres`) (Architecture §4.6, §27).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-01.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-01-002-01,TC-DG-01-002-01.2,"pytest marker @pytest.mark.req(""AC-DG-01-002-01"") or Xray/TestRail key == AC-DG-01-002-01","Architecture §4.6, §27"
AC-DG-01-002-02,US-DG-01-002,EPIC-DG-01,platform-runtime,platform_engineer,3,L4,L5/L12,P1,Should,MVP,Functional,,,,,,integration,1,,,Athena MVP batches checkpoint after each batch completion (Architecture §31.3).,Verify AC-DG-01-002-02: Athena MVP batches checkpoint after each batch completion (Architecture §31.3).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-01.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-01-002-02,TC-DG-01-002-02.2,"pytest marker @pytest.mark.req(""AC-DG-01-002-02"") or Xray/TestRail key == AC-DG-01-002-02",Architecture §31.3
AC-DG-01-002-03,US-DG-01-002,EPIC-DG-01,platform-runtime,platform_engineer,5,L4,L5/L12,P1,Should,MVP,Functional,,,,,,integration,1,,,"Resume invocation with `invoke(None, config)` continues from last successful checkpoint without duplicating persisted findings (Architecture §4.6).","Verify AC-DG-01-002-03: Resume invocation with `invoke(None, config)` continues from last successful checkpoint without duplicating persisted findings (Architecture §4.6).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-01.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-01-002-03,TC-DG-01-002-03.2,"pytest marker @pytest.mark.req(""AC-DG-01-002-03"") or Xray/TestRail key == AC-DG-01-002-03",Architecture §4.6
AC-DG-01-003-01,US-DG-01-003,EPIC-DG-01,platform-runtime,platform_engineer,3,L4,L5/L12,P1,Should,MVP,Functional,,,,,,integration,1,,,"`POST /v1/scans/{id}/cancel` sets `cancellation_requested=true` and returns `202` (Architecture §28.3, §30.4).","Verify AC-DG-01-003-01: `POST /v1/scans/{id}/cancel` sets `cancellation_requested=true` and returns `202` (Architecture §28.3, §30.4).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-01.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-01-003-01,TC-DG-01-003-01.2,"pytest marker @pytest.mark.req(""AC-DG-01-003-01"") or Xray/TestRail key == AC-DG-01-003-01","Architecture §28.3, §30.4"
AC-DG-01-003-02,US-DG-01-003,EPIC-DG-01,platform-runtime,platform_engineer,3,L4,L5/L12,P1,Should,MVP,Functional,,,,,,integration,1,,,Worker observes cancel between LangGraph nodes and transitions to `CANCELLED` terminal state with partial artefacts retained per policy (Architecture §30.4).,Verify AC-DG-01-003-02: Worker observes cancel between LangGraph nodes and transitions to `CANCELLED` terminal state with partial artefacts retained per policy (Architecture §30.4).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-01.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-01-003-02,TC-DG-01-003-02.2,"pytest marker @pytest.mark.req(""AC-DG-01-003-02"") or Xray/TestRail key == AC-DG-01-003-02",Architecture §30.4
AC-DG-01-003-03,US-DG-01-003,EPIC-DG-01,platform-runtime,platform_engineer,3,L4,L5/L12,P1,Should,MVP,Functional,,,,,,integration,1,,,Cancelled scans never emit a `scan.completed` webhook (only `failed`/`completed` per configured events).,Verify AC-DG-01-003-03: Cancelled scans never emit a `scan.completed` webhook (only `failed`/`completed` per configured events).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-01.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-01-003-03,TC-DG-01-003-03.2,"pytest marker @pytest.mark.req(""AC-DG-01-003-03"") or Xray/TestRail key == AC-DG-01-003-03",Architecture_Design.md (see product spec)
